# Time(ps) CRYO_average_angle(degrees) CRYO_std
2.350000000000000000e+05 4.121551620312663289e+01 5.211050460895468639e+00
2.360000000000000000e+05 4.215296158951383632e+01 4.773807302662484986e+00
2.370000000000000000e+05 4.064795173036731768e+01 5.631892346240134906e+00
2.380000000000000000e+05 4.114602245481797382e+01 4.892530324170121681e+00
2.390000000000000000e+05 3.965626893231031147e+01 1.573366250084171636e+00
2.400000000000000000e+05 4.200730431549099819e+01 3.538870919588766206e+00
2.410000000000000000e+05 4.285406496966508882e+01 3.860124825295680573e+00
2.420000000000000000e+05 4.252780588163224706e+01 7.241548600093232757e+00
2.430000000000000000e+05 4.063470281202836532e+01 5.105789796030518524e+00
2.440000000000000000e+05 4.008616948052217310e+01 4.151259109790458091e+00
2.450000000000000000e+05 4.096706878147568887e+01 4.579580614920372383e+00
2.460000000000000000e+05 4.395990556186201559e+01 5.241732430094059758e+00
2.470000000000000000e+05 4.210411646785502171e+01 5.547636537615082908e+00
2.480000000000000000e+05 4.736905737535894190e+01 6.902826726985709094e+00
2.490000000000000000e+05 4.818256643413035079e+01 1.084643479294184054e+01
2.500000000000000000e+05 4.540123848392870798e+01 4.705206432854170728e+00
2.510000000000000000e+05 3.876221632291110097e+01 4.802563535112315485e+00
2.520000000000000000e+05 3.912788336202580552e+01 6.157615149905431018e+00
2.530000000000000000e+05 4.056016600936824545e+01 7.110336294872358742e+00
2.540000000000000000e+05 3.863307980172125866e+01 4.513626765680017527e+00
2.550000000000000000e+05 4.147538667236233323e+01 4.542218248913882483e+00
2.560000000000000000e+05 4.125708549927462343e+01 5.420736080382098088e+00
2.570000000000000000e+05 4.174668370422560315e+01 3.261242919420000330e+00
2.580000000000000000e+05 4.483495853904010886e+01 5.482933605517231967e+00
2.590000000000000000e+05 4.292872737423149232e+01 5.953736835163381258e+00
2.600000000000000000e+05 4.505768790732543039e+01 5.353317845979996825e+00
2.610000000000000000e+05 4.320994487631605807e+01 4.263231392229172023e+00
2.620000000000000000e+05 4.238051386535109089e+01 4.413266417223884019e+00
2.630000000000000000e+05 4.100676471993070038e+01 4.713544245513741515e+00
2.640000000000000000e+05 4.267005349294620942e+01 3.595081818522532391e+00
2.650000000000000000e+05 3.994322902402063136e+01 1.940275104335712930e+00
2.660000000000000000e+05 4.359713951641354868e+01 3.836826374760212488e+00
2.670000000000000000e+05 4.417079582809689953e+01 7.023613227642385937e+00
2.680000000000000000e+05 4.365205987174503122e+01 6.344446844644616057e+00
2.690000000000000000e+05 4.240728551551656267e+01 7.377351298657025325e+00
2.700000000000000000e+05 4.401826801650837240e+01 5.749702585157844936e+00
2.710000000000000000e+05 4.085687638011059164e+01 5.019653457869928559e+00
2.720000000000000000e+05 4.492686889810791939e+01 5.013981600128841087e+00
2.730000000000000000e+05 4.419035092353519190e+01 7.763805959748643737e+00
